frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1,[502.52880859375 908.383056640625 969.119140625 1324.788330078125],car,[639.333740234375 1186.209716796875 806.853759765625 1227.781005859375],0.4490355849266052,NA13NRU,0.5593763497053967
1,1,[500.5675964355469 911.6105346679688 969.2999267578125 1328.635498046875],car,[634.7840576171875 1191.992431640625 810.0350341796875 1230.197021484375],0.29761624336242676,NA13NRU,0.30375409686961347
2,1,[496.64080810546875 916.0711669921875 964.8265380859375 1335.3897705078125],car,[627.04052734375 1199.061279296875 803.76318359375 1237.843017578125],0.2634330689907074,NA13NRU,0.8153110749156879
3,1,[492.5245361328125 921.7493286132812 964.8541259765625 1341.4949951171875],car,[627.8592529296875 1203.6004638671875 795.4925537109375 1246.5863037109375],0.3297736644744873,NA(JNFU,0.11922927495254869
4,1,[491.4833984375 924.48779296875 964.5249633789062 1345.71826171875],car,[630.7073974609375 1205.08740234375 799.7388916015625 1248.023193359375],0.48062756657600403,NA13NRU,0.6317555705748401
5,1,[487.5941467285156 926.4805908203125 961.8460693359375 1352.5181884765625],car,[626.5884399414062 1211.922607421875 796.9470825195312 1252.570068359375],0.7396331429481506,NA13NRU,0.6245107870056028
6,1,[484.5618591308594 931.03515625 960.6104125976562 1360.261474609375],car,[618.7169189453125 1215.55029296875 790.7708740234375 1259.577392578125],0.49329623579978943,NA13NRU,0.1446474079534239
7,1,[482.7811279296875 931.630126953125 960.2752685546875 1364.857421875],car,[613.848388671875 1219.806884765625 796.6678466796875 1262.853271484375],0.5068680047988892,NA13NRU,0.3107723695268047
8,1,[478.6710510253906 936.7551879882812 958.3140869140625 1371.1697998046875],car,[617.849365234375 1227.8516845703125 791.69287109375 1273.5477294921875],0.5279885530471802,NA13NRU,0.3198445997520535
9,1,[474.7288818359375 944.1504516601562 956.5090942382812 1378.28271484375],car,[609.6627197265625 1234.915283203125 786.3538818359375 1279.215087890625],0.39181506633758545,NA13NRU,0.607225589655575
10,1,[472.71484375 948.6102294921875 954.2310180664062 1381.4439697265625],car,[608.58740234375 1238.83935546875 784.604248046875 1283.249267578125],0.6825358867645264,NA13NFU,0.7828391152864917
10,2,[1448.581298828125 802.1503295898438 1891.5052490234375 1192.5079345703125],car,[1610.4886474609375 1079.672119140625 1729.2564697265625 1120.067626953125],0.30347272753715515,MVEIVSU,0.096296509425275
11,1,[469.3031921386719 955.20751953125 952.3594970703125 1387.383056640625],car,[610.0900268554688 1245.844970703125 784.6355590820312 1287.995361328125],0.6588208675384521,NA13NRU,0.2620494529369772
